familia,serie,n,d,k,configuracion,nodos,costo,ms,ms_min,ms_max,corridas,estado
uniforme,vs_k,24,12,6,ambas,64,1.371162907,0.005792,0.0055,0.005917,3,ok
uniforme,vs_k,24,12,8,ninguna,390656,0.8950914591,4.5755,4.508833,4.582125,3,ok
uniforme,vs_k,24,12,8,factibilidad,175560,0.8950914591,2.04725,2.046916,2.106917,3,ok
uniforme,vs_k,24,12,8,optimalidad,28,0.8950914591,0.00375,0.003583,0.004458,3,ok
uniforme,vs_k,24,12,8,ambas,20,0.8950914591,0.002667,0.002542,0.002667,3,ok
uniforme,vs_k,24,12,10,ninguna,1698160,0.9299023192,19.130417,18.978166,19.25725,3,ok
uniforme,vs_k,24,12,10,factibilidad,810084,0.9299023192,9.122625,9.077708,9.154333,3,ok
uniforme,vs_k,24,12,10,optimalidad,58,0.9299023192,0.006583,0.006542,0.006959,3,ok
uniforme,vs_k,24,12,10,ambas,34,0.9299023192,0.004208,0.004166,0.004459,3,ok
uniforme,vs_k,24,12,12,ninguna,4194304,1.006466056,45.364542,45.355416,46.006667,3,ok
uniforme,vs_k,24,12,12,factibilidad,1790712,1.006466056,19.343583,19.202583,19.563084,3,ok
uniforme,vs_k,24,12,12,optimalidad,109,1.006466056,0.011791,0.011084,0.013792,3,ok
uniforme,vs_k,24,12,12,ambas,84,1.006466056,0.007375,0.007167,0.007584,3,ok
uniforme,vs_k,24,12,14,ninguna,6690448,0.7661906779,70.39,69.9955,70.642792,3,ok
uniforme,vs_k,24,12,14,factibilidad,1998724,0.7661906779,20.210833,20.203083,20.277916,3,ok
uniforme,vs_k,24,12,14,optimalidad,129,0.7661906779,0.010459,0.010375,0.010667,3,ok
uniforme,vs_k,24,12,14,ambas,80,0.7661906779,0.005792,0.005583,0.005834,3,ok
uniforme,vs_k,24,12,16,ninguna,7997952,0.9420133642,82.547958,82.157792,82.81475,3,ok
uniforme,vs_k,24,12,16,factibilidad,1136960,0.9420133642,10.86325,10.863125,10.919333,3,ok
uniforme,vs_k,24,12,16,optimalidad,140,0.9420133642,0.011167,0.011,0.0115,3,ok
uniforme,vs_k,24,12,16,ambas,102,0.9420133642,0.006541,0.006416,0.006667,3,ok
uniforme,vs_k,24,12,18,ninguna,8344056,0.9600498804,85.27375,83.974459,86.002333,3,ok
uniforme,vs_k,24,12,18,factibilidad,319770,0.9600498804,2.837791,2.834959,2.938958,3,ok
uniforme,vs_k,24,12,18,optimalidad,121,0.9600498804,0.009542,0.009334,0.009584,3,ok
uniforme,vs_k,24,12,18,ambas,88,0.9600498804,0.005042,0.004959,0.005417,3,ok
uniforme,vs_k,24,12,20,ninguna,8386560,0.9745516686,86.294375,85.837916,87.026375,3,ok
uniforme,vs_k,24,12,20,factibilidad,40964,0.9745516686,0.340917,0.339417,0.360208,3,ok
uniforme,vs_k,24,12,20,optimalidad,108,0.9745516686,0.0085,0.008458,0.008917,3,ok
uniforme,vs_k,24,12,20,ambas,58,0.9745516686,0.003583,0.0035,0.003625,3,ok
uniforme,vs_k,24,12,22,ninguna,8388584,0.8793867751,85.663166,85.421792,85.728375,3,ok
uniforme,vs_k,24,12,22,factibilidad,2002,0.8793867751,0.017041,0.016291,0.017959,3,ok
uniforme,vs_k,24,12,22,optimalidad,60,0.8793867751,0.005792,0.005667,0.005917,3,ok
uniforme,vs_k,24,12,22,ambas,26,0.8793867751,0.001916,0.001875,0.001917,3,ok
uniforme,vs_k,24,12,24,ninguna,8388608,0,84.8105,84.733,85.871792,3,ok
uniforme,vs_k,24,12,24,factibilidad,24,0,0.001208,0.001208,0.00125,3,ok
uniforme,vs_k,24,12,24,optimalidad,1,0,0.001375,0.001333,0.001375,3,ok
uniforme,vs_k,24,12,24,ambas,1,0,0.001125,0.001042,0.001208,3,ok
estructura,vs_n,8,12,4,ninguna,64,0.5957165829,0.0015,0.001458,0.002083,3,ok
estructura,vs_n,8,12,4,factibilidad,36,0.5957165829,0.001125,0.001125,0.001167,3,ok
estructura,vs_n,8,12,4,optimalidad,15,0.5957165829,0.001292,0.001167,0.001333,3,ok
estructura,vs_n,8,12,4,ambas,7,0.5957165829,0.000917,0.000916,0.000958,3,ok
estructura,vs_n,10,12,5,ninguna,256,0.2551840659,0.003792,0.00375,0.003875,3,ok
estructura,vs_n,10,12,5,factibilidad,140,0.2551840659,0.002625,0.002417,0.002875,3,ok
estructura,vs_n,10,12,5,optimalidad,25,0.2551840659,0.002,0.001917,0.002041,3,ok
estructura,vs_n,10,12,5,ambas,14,0.2551840659,0.0015,0.001458,0.001625,3,ok
estructura,vs_n,12,12,6,ninguna,1024,0.1556714353,0.012333,0.012208,0.012458,3,ok
estructura,vs_n,12,12,6,factibilidad,540,0.1556714353,0.006958,0.006875,0.007166,3,ok
estructura,vs_n,12,12,6,optimalidad,27,0.1556714353,0.002208,0.002208,0.002375,3,ok
estructura,vs_n,12,12,6,ambas,15,0.1556714353,0.001583,0.0015,0.001583,3,ok
estructura,vs_n,14,12,7,ninguna,4096,0.2175628563,0.046125,0.046083,0.046209,3,ok
estructura,vs_n,14,12,7,factibilidad,2079,0.2175628563,0.024083,0.023833,0.024416,3,ok
estructura,vs_n,14,12,7,optimalidad,42,0.2175628563,0.003166,0.003125,0.003625,3,ok
estructura,vs_n,14,12,7,ambas,25,0.2175628563,0.002292,0.002042,0.002375,3,ok
estructura,vs_n,16,12,8,ninguna,16384,0.2478140688,0.181541,0.181375,0.183667,3,ok
estructura,vs_n,16,12,8,factibilidad,8008,0.2478140688,0.087167,0.086959,0.087583,3,ok
estructura,vs_n,16,12,8,optimalidad,50,0.2478140688,0.004375,0.00425,0.004583,3,ok
estructura,vs_n,16,12,8,ambas,29,0.2478140688,0.002958,0.002834,0.003,3,ok
estructura,vs_n,18,12,9,ninguna,65536,0.1949420134,0.709917,0.692625,0.729584,3,ok
estructura,vs_n,18,12,9,factibilidad,30888,0.1949420134,0.335708,0.334,0.340792,3,ok
estructura,vs_n,18,12,9,optimalidad,59,0.1949420134,0.00525,0.005166,0.005375,3,ok
estructura,vs_n,18,12,9,ambas,43,0.1949420134,0.003709,0.003584,0.003917,3,ok
estructura,vs_n,20,12,10,ninguna,262144,0.1759543597,2.86975,2.844541,2.876625,3,ok
estructura,vs_n,20,12,10,factibilidad,119340,0.1759543597,1.307916,1.286416,1.333667,3,ok
estructura,vs_n,20,12,10,optimalidad,24,0.1759543597,0.003125,0.003042,0.003167,3,ok
estructura,vs_n,20,12,10,ambas,16,0.1759543597,0.00225,0.002208,0.00225,3,ok
estructura,vs_n,22,12,11,ninguna,1048576,0.1610362531,11.242292,11.19525,11.393041,3,ok
estructura,vs_n,22,12,11,factibilidad,461890,0.1610362531,4.966417,4.91925,4.988667,3,ok
estructura,vs_n,22,12,11,optimalidad,35,0.1610362531,0.003875,0.003833,0.004167,3,ok
estructura,vs_n,22,12,11,ambas,21,0.1610362531,0.002542,0.002542,0.002625,3,ok
estructura,vs_n,24,12,12,ninguna,4194304,0.1459650009,45.455042,45.3395,45.561917,3,ok
estructura,vs_n,24,12,12,factibilidad,1790712,0.1459650009,19.413917,19.02175,19.480417,3,ok
estructura,vs_n,24,12,12,optimalidad,31,0.1459650009,0.004,0.003958,0.00425,3,ok
estructura,vs_n,24,12,12,ambas,19,0.1459650009,0.002917,0.002833,0.003042,3,ok
estructura,vs_n,26,12,13,ninguna,16777216,0.1915691057,176.71975,176.672292,178.980042,3,ok
estructura,vs_n,26,12,13,factibilidad,6953544,0.1915691057,74.112416,73.936708,75.189542,3,ok
estructura,vs_n,26,12,13,optimalidad,99,0.1915691057,0.010834,0.01075,0.010917,3,ok
estructura,vs_n,26,12,13,ambas,70,0.1915691057,0.007375,0.007292,0.0075,3,ok
estructura,vs_n,28,12,14,ninguna,67108864,0.1843678783,702.686416,698.989333,715.194416,3,ok
estructura,vs_n,28,12,14,factibilidad,27041560,0.1843678783,283.188959,282.559208,286.586,3,ok
estructura,vs_n,28,12,14,optimalidad,71,0.1843678783,0.008584,0.0085,0.008792,3,ok
estructura,vs_n,28,12,14,ambas,45,0.1843678783,0.005708,0.005667,0.00575,3,ok
estructura,vs_k,24,12,2,ninguna,24,1.468755966,0.000792,0.000792,0.000875,3,ok
estructura,vs_k,24,12,2,factibilidad,2,1.468755966,0.0005,0.000375,0.0005,3,ok
estructura,vs_k,24,12,2,optimalidad,19,1.468755966,0.000792,0.000792,0.000834,3,ok
estructura,vs_k,24,12,2,ambas,1,1.468755966,0.000375,0.000375,0.000458,3,ok
estructura,vs_k,24,12,4,ninguna,2048,0.3350248915,0.026709,0.0265,0.027333,3,ok
estructura,vs_k,24,12,4,factibilidad,484,0.3350248915,0.007375,0.007125,0.007416,3,ok
estructura,vs_k,24,12,4,optimalidad,62,0.3350248915,0.003875,0.003834,0.003916,3,ok
estructura,vs_k,24,12,4,ambas,11,0.3350248915,0.001875,0.00175,0.001917,3,ok
estructura,vs_k,24,12,6,ninguna,44552,0.2449013321,0.536834,0.530167,0.551959,3,ok
estructura,vs_k,24,12,6,factibilidad,16170,0.2449013321,0.200541,0.198792,0.205959,3,ok
estructura,vs_k,24,12,6,optimalidad,37,0.2449013321,0.005209,0.005125,0.005334,3,ok
estructura,vs_k,24,12,6,ambas,21,0.2449013321,0.003542,0.003292,0.003542,3,ok
estructura,vs_k,24,12,8,ninguna,390656,0.2274760749,4.5115,4.508792,4.535334,3,ok
estructura,vs_k,24,12,8,factibilidad,175560,0.2274760749,2.085875,2.043375,2.101416,3,ok
estructura,vs_k,24,12,8,optimalidad,91,0.2274760749,0.007917,0.007792,0.008083,3,ok
estructura,vs_k,24,12,8,ambas,54,0.2274760749,0.005209,0.005208,0.00525,3,ok
estructura,vs_k,24,12,10,ninguna,1698160,0.205507905,19.324583,19.001917,19.469792,3,ok
estructura,vs_k,24,12,10,factibilidad,810084,0.205507905,9.132166,9.065667,9.285,3,ok
estructura,vs_k,24,12,10,optimalidad,28,0.205507905,0.004333,0.004333,0.00575,3,ok
estructura,vs_k,24,12,10,ambas,17,0.205507905,0.003125,0.003125,0.00325,3,ok
estructura,vs_k,24,12,12,ninguna,4194304,0.1459650009,45.85875,45.809083,45.999875,3,ok
estructura,vs_k,24,12,12,factibilidad,1790712,0.1459650009,19.305875,19.274792,19.391459,3,ok
estructura,vs_k,24,12,12,optimalidad,31,0.1459650009,0.004083,0.003917,0.004333,3,ok
estructura,vs_k,24,12,12,ambas,19,0.1459650009,0.002959,0.002917,0.002959,3,ok
estructura,vs_k,24,12,14,ninguna,6690448,0.1929891236,70.108584,69.692083,71.700875,3,ok
estructura,vs_k,24,12,14,factibilidad,1998724,0.1929891236,20.342583,20.2475,20.612167,3,ok
estructura,vs_k,24,12,14,optimalidad,264,0.1929891236,0.020875,0.020625,0.021208,3,ok
estructura,vs_k,24,12,14,ambas,173,0.1929891236,0.012875,0.012834,0.013042,3,ok
estructura,vs_k,24,12,16,ninguna,7997952,0.1267014066,81.415833,80.78075,83.249209,3,ok
estructura,vs_k,24,12,16,factibilidad,1136960,0.1267014066,11.00375,10.956125,11.187334,3,ok
estructura,vs_k,24,12,16,optimalidad,160,0.1267014066,0.011833,0.011708,0.012292,3,ok
estructura,vs_k,24,12,16,ambas,109,0.1267014066,0.007167,0.007083,0.007625,3,ok
estructura,vs_k,24,12,18,ninguna,8344056,0.1891623045,85.563166,85.007833,86.562625,3,ok
estructura,vs_k,24,12,18,factibilidad,319770,0.1891623045,2.859042,2.849375,2.882334,3,ok
estructura,vs_k,24,12,18,optimalidad,202,0.1891623045,0.0175,0.017209,0.0175,3,ok
estructura,vs_k,24,12,18,ambas,131,0.1891623045,0.007666,0.007666,0.007667,3,ok
estructura,vs_k,24,12,20,ninguna,8386560,0.1487699995,85.793042,85.251958,86.042834,3,ok
estructura,vs_k,24,12,20,factibilidad,40964,0.1487699995,0.343208,0.338959,0.346125,3,ok
estructura,vs_k,24,12,20,optimalidad,36,0.1487699995,0.004792,0.004625,0.004875,3,ok
estructura,vs_k,24,12,20,ambas,23,0.1487699995,0.002416,0.002292,0.002459,3,ok
estructura,vs_k,24,12,22,ninguna,8388584,0.1317371978,85.832833,84.668084,87.052417,3,ok
estructura,vs_k,24,12,22,factibilidad,2002,0.1317371978,0.016458,0.016083,0.016833,3,ok
estructura,vs_k,24,12,22,optimalidad,170,0.1317371978,0.011666,0.011625,0.011708,3,ok
estructura,vs_k,24,12,22,ambas,93,0.1317371978,0.00325,0.002917,0.003292,3,ok
